Nome;Custo_USD;Frete_USD;Embalagem_R$;II_%;IPI_%;ICMS_%;PIS_%;COFINS_;IOF_;Marketplace;Modo_Venda;Tamanho_Kit;Preco_Base
Protetor de Privacidade de Câmera;2,552339399;12,35;0,5;2,025;2,025;2,025;2,025;2,025;2,025;MercadoLivre Premium C/ Parcelamento e Frete;UNIDADE;10;45
Protetor de Privacidade de Câmera;3,828509098;12,35;0,5;2,69955;2,69955;2,69955;2,69955;2,69955;2,69955;MercadoLivre Premium C/ Parcelamento e Frete;UNIDADE;15;59,99
Protetor de Privacidade de Câmera;25,52339399;6,75;0,5;26,91;26,91;26,91;26,91;26,91;26,91;ATACADO - MercadoLivre Clássico;UNIDADE;100;450
Protetor de Privacidade de Câmera;51,04678797;6,75;0,5;53,82;53,82;53,82;53,82;53,82;53,82;ATACADO - MercadoLivre Clássico;UNIDADE;200;900
Protetor de Privacidade de Câmera;76,57018196;6,75;0,5;80,73;80,73;80,73;80,73;80,73;80,73;ATACADO - MercadoLivre Clássico;UNIDADE;300;1350
Protetor de Privacidade de Câmera;102,0935759;6,75;0,5;107,64;107,64;107,64;107,64;107,64;107,64;ATACADO - MercadoLivre Clássico;UNIDADE;400;1800
Protetor de Privacidade de Câmera;127,6169699;6,75;0,5;134,55;134,55;134,55;134,55;134,55;134,55;ATACADO - MercadoLivre Clássico;UNIDADE;500;2250
Protetor de Privacidade de Câmera;25,52339399;12,35;0,5;26,91;26,91;26,91;26,91;26,91;26,91;ATACADO - MercadoLivre Clássico C/ Frete;UNIDADE;100;450
Protetor de Privacidade de Câmera;51,04678797;12,35;0,5;53,82;53,82;53,82;53,82;53,82;53,82;ATACADO - MercadoLivre Clássico C/ Frete;UNIDADE;200;900
Protetor de Privacidade de Câmera;76,57018196;12,35;0,5;80,73;80,73;80,73;80,73;80,73;80,73;ATACADO - MercadoLivre Clássico C/ Frete;UNIDADE;300;1350
Protetor de Privacidade de Câmera;102,0935759;12,35;0,5;107,64;107,64;107,64;107,64;107,64;107,64;ATACADO - MercadoLivre Clássico C/ Frete;UNIDADE;400;1800
Protetor de Privacidade de Câmera;127,6169699;12,35;0,5;134,55;134,55;134,55;134,55;134,55;134,55;ATACADO - MercadoLivre Clássico C/ Frete;UNIDADE;500;2250
Protetor de Privacidade de Câmera;25,52339399;12,35;0,5;26,91;26,91;26,91;26,91;26,91;26,91;ATACADO - MercadoLivre Premium C/ Parcelamento;UNIDADE;100;450
Protetor de Privacidade de Câmera;51,04678797;12,35;0,5;53,82;53,82;53,82;53,82;53,82;53,82;ATACADO - MercadoLivre Premium C/ Parcelamento;UNIDADE;200;900
Protetor de Privacidade de Câmera;76,57018196;12,35;0,5;80,73;80,73;80,73;80,73;80,73;80,73;ATACADO - MercadoLivre Premium C/ Parcelamento;UNIDADE;300;1350
Protetor de Privacidade de Câmera;102,0935759;12,35;0,5;107,64;107,64;107,64;107,64;107,64;107,64;ATACADO - MercadoLivre Premium C/ Parcelamento;UNIDADE;400;1800
Protetor de Privacidade de Câmera;127,6169699;12,35;0,5;134,55;134,55;134,55;134,55;134,55;134,55;ATACADO - MercadoLivre Premium C/ Parcelamento;UNIDADE;500;2250
